text,y_pred
给我唱一首2008年的奥运会的主题曲吧,5
今天晚上韶关附近有没有东风,11
祭谷神节是什么时候,9
正点财经在哪个频道播出？往期视频回放一下啊,4
请给我播放杜牧的诗词,3
播放四川广播电台的新闻联播,6
我就是不知道手机号码而且家里又只有我的手机,5
萧亚轩演英雌救帅跟洪金宝儿子学武功组图,0
为我放首侍神令影视原声碟专辑中的笛子吹奏轻音乐庭院,5
很想看俄罗斯的电视剧推荐视频随便播一个给我,1
请用英文播放小意达的花儿这个故事,3
请帮我设置一个后天早上9点开始三周年庆典的闹钟。,7
他是不是对你有意思啊,8
谁会是最期待的零点嘉宾,3
五月初下午会刮大风吗,11
昆明去年下冰雹了吗,11
我要循环的听小猪学本领这个故事,3
我要听法语版的樵夫与仙女的故事,5
准备做美食了，帮我打开蒸烤箱吧,10
关闭今天8点的日程,7
给我打开前天更新的绝世战魂的第36集,1
二零一三年一月一号限行不,2
给我播放仙侠类的有声漫画,1
我想再看一遍周三电视播出的妈妈为我嫁,0
2月14日是农历几月几号,9
今天给我一部张艺谋拍的纪录片看一看,1
陈法拉生日男友送相机闻诸葛梓岐即封口图,1
删除这个2个小时后关闭快手的备忘录,10
今年的萝卜节是星期几,9
我要听搞笑相声人在黑社会,6
广西都市4月21日上午八点播放的是什么节目帮我看下,4
5月1日的今日说法帮忙打开一下。,4
查下还有明天去北京的汽车票吗,2
现在给我放一个英文版的稻草人的小故事,3
你先可以给我定一个50分钟之后的闹铃,7
广播剧微微一笑很倾城的番外帮我播一下,1
立刻告诉我答案6月18日是阴历多少,9
上个星期一播出的天天网事给我回放一下,1
我的话费每月交五十不管打不打都一样收费,7
放一下钟汉良在2019年央视春晚上唱歌的视频,1
放岳云鹏孙越的爆笑相声我们不一样听听看,1
关晓彤在2021北京卫视跨年演唱会上的表演视频给我回放一下,1
明天早晨要去晨跑，天气大概多少度？,11
我想听戴萌版本的how we do it,5
请给我循环播放隔壁老樊的中文歌世本常态。,5
谁对谁错每个看到事实的人心中都有一杆秤,8
告诉我一下厦门飞往伦敦的航班明天有票不,2
上个月的26号体育赛事帮我回放下吧,1
狼殿下请播放最新更新的几集,8
帮我创建个下周上午10点多开始双十二预热活动的闹钟。,7
我侄女想看公共卫视昨天播放过的战魂,1
星期一是几号呢,9
将客厅灯光调为温馨模式好么,10
闫妮叫自己的粉丝为娃很多场合她都会说感谢闫帮的娃对我的支持,7
陶虹顺产千金取名徐小宝老公徐峥傻笑图,11
请不要在5月20号提醒我去找我朋友玩,7
近日徐帆在接受探班记者采访时对于丈夫的赞美照单全收,5
查一下这月雄安风从哪刮来的,5
我们一起听毛不易的消愁吧,5
好冷，帮我把空调的温度调高一点,10
戏曲频道8点38生活早参考-特别节目查找出来播放一下,4
你赶快查下星期四是哪天呢,9
CSGO比赛的视频播一下,1
放一下2020年春晚韩雪的小品爱在路上等会听,3
你能给我播放18年电影西红柿首富吗,8
帮我找下有没有关于北京的纪录片,1
给小朋友们放一个北京文艺广播的开心茶馆,6
能帮我新增一个周六晚上23点的闹铃吗,7
张黎答保守期望收回成本票房最好多多益善,8
请接着给我续播著名小说包法利夫人的第三章英文版的,3
一个小时后关闭厨房的灯,10
调频收听孙畅的新闻天天谈,6
我想看湖南卫视青春剧场的刘诗诗主演的亲爱的自己,8
催眠的歌曲给我随机来几首,5
我要查1月1日去西安的火车票。,2
立即查一下阴历的几月几号是8月4日啊,9
周六下午2点半送孩子上钢琴课的备忘录设定一下。,7
帮我把空调设置为制冷模式好吗,10
本报讯记者康沛郭延冰前晚光线娱乐大典在人大如论讲堂举行,7
帮我记一下5月30号下午2点去买水果,7
明天5:15不要忘了提醒我给我哥发微信,7
下周三到周五宁波那边有雨吗,11
赶快查下星期二是多少号呢,9
关掉扫地机器人，让它停止工作,10
我现在想新增一个1月27号凌晨三点的闹钟,7
悬崖之上是谁唱的视频播放一下,1
只是不知道今年老赵还能为大家的年夜饭端上一盘啥菜,0
定一个周三下午5点教室打扫的提醒。,7
创建一个25号买飞机票的日程,7
抽烟机关了，帮我开一下，我要用,10
请给我续播德国小说阴谋与爱情的第三章德语版的,3
想喝皮蛋瘦肉粥了，帮我切换到电饭煲的煮粥模式好吗,10
你可真行昨天又买了几件衣服,7
放麦琪的礼物这部小说的英文版来给我们听一下,3
想听专辑了，就听我的世界守则吧，王一博的,5
帮我看看5月4日是阴历多少,9
你能给我来一部去年的电视剧燕云台吗,8
找出5.31日23点30播出的动漫,1
周末句容不会有暴风雪吧,11
回放一下早上9点28播放的绝密使命第三集,4
你几号的飞机票回去来着,0
查询CA四幺零幺和CA四幺幺三的状态,7
放一首小提琴曲梁祝,5
能播放一下唐嫣和钟汉良的何以笙箫默吗,6
帮我把空调温度调到18度好不好呀,10
还有一个星期就元旦了,9
喵多哩新剧场是不是在10点就结束了帮我看下,4
现在股市这样我又不舍得放也不敢再入市,1
播放河北音乐广播依然动听,6
凄美悬疑又带点喜剧色彩的文艺片如梦将由香港大导罗卓瑶掌镜,8
我附近有自动取款机吗,9
你做的事情很杂像个社会活动家,0
陈楚生与天娱官司缠身,1
一分钱太有名了为此潘振声有了一分钱爷爷这个雅号,6
二有背景的妖怪都被救走,8
麻烦问一下清明节是什么时候,9
在4月10号记得提醒我缴宽带费,7
巴彦淖尔交通广播正在播放的家有儿女节目快帮我放一下,6
我要听俄语版的哈姆莱特,5
把冰箱的制冷模式打开吧,10
能来一个频率是九四点七的经典947吗,6
招行网银怎么买理财产品,7
帮我打开客厅的灯怎么样,10
林熙蕾他的戏比较阳刚但女演员也是必要的,5
提醒我20号上午做美容,7
之后将是历时一年的拍摄期,0
帮我查一查广州明天的温度是多少。,11
立刻让我知道今天有焦作始发的大巴吗,2
听会儿宁鹏的I到黎明时在FM95点5,6
阿拉伯语的治愈歌曲来一首呢,5
我想问一下昨天是几号,9
好歹可以让歌迷们用来暂时解一下难耐的饥渴,5
帮我查下我老婆现在在哪里,0
我现在想听体育类的广播，给我调到南京体育广播,6
给我播放一下公共台的中医养生堂,6
播放一下CCTV1生活提示的上期回放,1
2021年龚俊唱歌的视频找一个出来,1
帮我查询一下十点到上海的机票还有吗,2
黑色幽默引发理性思考贾樟柯微博说火车快开最配王宝强,0
帮我我找到陕西戏曲广播按时间顺序播放里面的花鼓戏节目,6
设置每天7点半的闹铃备注点电子运维,7
把唐嫣主演的锦绣未央放一下,8
播放广播剧全球高考,8
感谢分享生活有你更精彩,0
制定个明天上午8点看妇产科医生的闹钟。,7
我想听九三点九的江浦人民广播电台,6
再定一个10点05的闹钟,7
生日快乐 从第一个挨个儿放,8
最近一周重庆会有大风出现吗,11
按顺序播放动漫唯我独尊的全部35集,8
给我播放下贾玲和张小斐拍摄你好李焕英的现场花絮,1
三国演义能继续看吗,8
昨天的足球甲级联赛运动员采访视频有吗,1
接着给我续播小时代原著书里的第二十集,8
我想看一下广西二手车信息,1
有声小说第一序列播放一下,6
高以翔和焦俊艳演的那个遇见王沥川我想看看,8
医师资格考试报名网址,7
帮我改一下9号上午备忘录,7
查询一下去牡丹江的机票还有几张,2
频率是一零一点七的动感101听一下吧,6
石景山区鲁谷村小区房价,6
打开江苏教育，想看下江南文脉了解江南文化,1
不要开启周一到周三的闹铃,7
明天你要提醒我烧香,7
我想看新闻频道的法制在线帮我回放一下往期视频,1
找一下最近的咖啡店怎么走,2
帮我播放一下爱在星空下麻烦放一下,8
给我放一下2020年山东春晚小品想说爱你不容易听一下,5
帮我播个剧让我听懂你的语言,8
四夜奇谭点击破二一亿开创网络电影元年图,8
找一下乡野下饭魂纪录片吃饭可以看,1
揭秘黄奕霍思燕三角情债娱乐圈女星恩怨不休,9
放一个猴子捞月亮的故事给我听吧,3
扫地机器人现在关机吧，我想安静一会,10
沈阳近期有雨吗,11
闹钟设成工作日早上六点起床,7
播放一个文彩元主演的电视剧的介绍视频,1
听听安徽人民广播帮我拨一下95点5,6
不走高速去昆明怎么走啊,2
下面开始循环播放红鞋这个故事,3
冰箱冷藏室温度再降两度行不行呀,10
卧室空调调成28度行不行嘛,10
帮我转到今天晚上六点的广西天气预报,6
请帮忙将7月10号的提醒修改为下午2点提醒,7
播放50年代的摇滚乐曲,5
德语歌随便给我唱一首吧,5
朱丹讳疾忌医家中挨腹痛,0
最快到达公司的路线是哪条呢,2
好久都没有听花粥创作的盗将行了，播放一下哦,8
晚上外面湿度越来越高，能下大雨不,11
陈凯歌是电影导师张艺谋激发创作欲,8
找到五十年代的草原之夜然后播放,5
总之他们对的批评一直都没停下来过,4
查下这雨下多久啊,2
我可以看看明天海淀的气温指数吗,11
在电视剧频道播出的小舍得帮我回放一下,4
明天早上10点40建立备忘录我买杯子,7
单曲循环一首英文歌曲吧,5
给我播放2021中国女子足球锦标赛,1
独特内涵受品牌青睐亲民代言受拥护,5
上星期五的电影频道放的什么帮我倒退一下,8
播一下晚上22点更新的理想照耀中国的拍摄花絮,1
立刻找出来Inspiron 灵越 15 Plus的测评视频,1
找到city party zone电台节目就晚上11点开始的那个,6
能否帮我把冰箱冷藏室调到4度呢,10
帮我打开南昌新闻综合的每日新闻,6
查询明天成都气温如何,11
我想看CCTV1星光大道的上一期节目,8
希望可以成为你的朋友,0
能不能帮我建一个3月2号去上班的提醒,7
2013年的唐山大地震电影有吗想看下,8
快查下17点有邢台市始发的长途大巴不,2
我回家了现在上火车了有事联系我我手机不变,0
在这个意义上弗兰科似乎生活在一个拓展了的公众青春期,7
找一个科比的篮球比赛视频来看,1
我想马上就收听FM107.8的怀旧好声音电台,6
记录明天海南气温差,11
给小孩播骆宾王的咏鹅,8
2021年都市爱情电视剧你是我的城池营垒的幕后故事播放一下,1
要流量还是要这个收费的呀,2
查询明天大连紫外线会偏高吗,11
经纪人账号被盗用多位艺人资料疑遭外泄,5
大声告诉我农历的九月初八和农历九月初九哪天是重阳节呢,9
我想去拉萨帮我看看还有没有机票,2
搜索一下少儿频道昨天下午播出的节目,6
作者是淮上的广播剧播放一个给我,3
CCTV7正在直播的炮神40/40帮我切换一下,4
快大声让我知道1月12日是星期一还是星期四呢,9
播放乔家大院的有声小说,3
上个星期一的有个台播的天天网事给我打开下,4
张国强透露为了把儿子和女友都照顾到他一年只接两三部戏,11
暂时关闭自动报警系统,10
播个2008年之前的偶像剧,8
帮我打开一个百度的网页,8
华商报大家都非常关心你你现在的状况怎么样了,0
在音乐之声找一个楚悦主持的音乐节目,6
二零零四雅典世界大同,6
短信营业厅当月话费查询是不是手机固话费用,11
继续播惊悚网文绝望教室的第三章,3
想让空气流通下，帮我把浴霸切换到换气模式,10
原来黄海波也迷灰太狼拍照之后他还央求摄影老师给他也传张照片,0
电视音量设置为最小可以吗,10
找个今天的八卦娱乐视频放来看看,1
我现在想听莫言的红高粱第二章,5
校园类的广播剧随便播放一个,3
有声的紫襟说的灵异的小说帮我播一下,6
B站上的哔计划的相关视频快点给我播放,1
唐国强夫人不可能拿灾区人民的钱,5
播一段鲁迅的经典作品来听,5
几月几号是开斋节,9
我就想把空调开到二十二度,10
这位导演正在考虑要不要接受霍比特人剧组的邀请,8
生活家第17集电视正播呢帮我调一下吧,8
查查明天是什么节日吗,9
FM969东营生活广播的节目快点儿帮我放一下,6
空调太高温度调低点儿,10
有去年上的喜剧类电影嘛，播放一个吧,8
帮我调到新闻综合我想看看三农时空,6
给我放白雪公主的故事来听英文版的,3
记得大后天早上八点叫我接电话,7
能不能告诉我明天海淀气温指数怎么样,11
天气好热啊，打开中央空调吧,10
查几部B站的高分纪录片来看看,1
十年不算什么二十年三十年后再论成败,7
星期几是腊八节,9
我想你给我收听频率是九三点九的广东人民广播电台音乐台,6
这样吧你把具体的地址给我,0
查下告诉我济南发往潍坊的大巴明天有没有票,2
放千里共良宵就是中国之声的,6
林俊杰的歌曲MV帮我搜索一下,1
徐小明获聘任客座教授将宝贵知识传授新传媒人,8
收听浙江广播电台的职场江湖,6
请播放日本推理小说向日葵不开的夏天,8
再有五分钟我就要收听FM95.8的山西经济广播,6
放一个赵本山的小品给我听,3
明天海淀还是雷雨天气吗,11
我需要你播放音乐类的湖北人民广播电台交通音乐台,6
有最热门的科幻动漫吧随机播放一个吧,1
请播小E的月半小夜电台,6
她表示自己今年拍了两部戏都拒绝使用一次性筷子以贯彻环保理念,8
新浪娱乐你说这个让我想到尔东升,0
太安静了，帮我打开电视机,10
对于自己的此次转型胡军也觉得他真的太完美了,8
石家庄今天晚上会有暴雨吗,11
我想知道石家庄到北京有没有机票,2
我需要你告诉我温州开往北京的高铁今天有票吗,2
收听频率是八七点七的孝感电台交通音乐台可以吗,6
速度查一下沈阳飞烟台的飞机起飞了吗,2
橙意购开始了吗帮我打开娱乐看看吧,1
李荣浩李白播放一下呗,5
不是开了个研究所就代表科学和权威了,0
明天青岛可能会下雨吗,11
播放连丽如讲的东汉演义,8
我要听九十点零的常州人民广播电台,6
放德语版的很恐怖的那个小说三口棺材,8
播放玛格丽特米切尔的小说飘,3
是不是厦门飞天津的飞机已经起飞了,2
请续播阴谋与爱情的第五章小说,3
添一个1:40喊我去打点滴的提醒,7
广西都市4月21日上午八点播放的是什么节目我想看下,4
播一下全民目击这部小说给我听一下,3
美国奇幻电影除了哈利波特，播放什么都可以,8
星期几是月亮节,9
明天是不是多云,9
我不是很清楚他家里的事不过大部分男人都喜欢打游戏啦,7
快给我播登幽州台歌这首诗,3
你的空调风速能不能变小,10
王力宏火力全开里的歌曲随机来一首可以不,5
能不能不要每天10点提醒我了,7
快乐与痛苦并存的意义,6
可以帮我回放今早七点的西安新闻吗我想看下,4
麻烦播放一首梁静茹的可惜不是你。,5
CCTV3综艺频道综艺喜乐汇-2020-281帮我查询一下,4
七夕那天是在几月,9
二保罗史密斯马克西莫公园乐队,0
小孩要听一去二三里这首诗,3
帮我弟弟循环播放一个儿歌歌曲MV,1
你知道虎牙直播和斗鱼直播要合并的消息吗,1
我要求你快点查一下星期一是哪天啊,9
福彩双色球第二十二期号码多少多谢,0
请记住在5月6号通知我打消费者热线投诉,7
设定一个上午10点去看房的闹钟,7
明天早上收拾东西这个备忘录你帮我建好了吗,7
帮我调到河南新闻看看今天的整点新闻节放了没,4
播放一下张鹤伦讲过的相声,3
请给我放一下俄语版的大林和小林,5
帮我打开生活台，我想看下今天下午播放些什么,1
请查下青年节是几月几号,9
有关于中国女排成长史的纪录片么播放一下,1
播放广州人名广播电台风云962,6
给我放俄语版的沼泽王的女儿等会开车路上听,5
请帮我播放海峡之声广播电台 频率是九零点六,6
调到经济之声的新闻节目天下财经吧,6
我想来一首听毛不易的消愁。,5
电视上正在直播呢世界斯诺克锦标赛切换一下,8
制定个周日上午8点打高尔夫球的闹铃。,7
姐姐大玉在吗我想她啦跟她聊会儿天嘿嘿,8
赶紧告诉我明天有飞石家庄的飞机吗,2
可不可以把冰箱变温抽屉开到果蔬档呢,10
播放一首薛之谦的哑巴。,5
但原来在制作方面高清直播也与平日的直播不同,1
下个月是几月份,9
明天合肥会下冰雹吗,11
明天早上七点十分你还得起床上学了,7
查一下4月3日是星期几,9
泰戈尔飞鸟集里的诗我想听，英文版的,5
潇湘晨报是受众群让你放弃电视剧,8
而更多精彩内容留待您自己观赏,8
设置一个16号下午2点去开会的闹钟,7
兰州有雨吗,11
给我循环播放那个动漫哪吒闹海,1
将间隔50分钟提醒我一次改为间隔2小时,7
能不能打开人体传感器了,10
续播烽火戏诸侯的连载的小说天神下凡的第五章来听,3
继续收听王思元的电影解说,8
想听宋祖英的民歌映山红了,5
电话费很贵你知道吗以后发信息好吗求你了,0
就是林万成主持的神州之声放一下吧,6
明天下午四点经济有财经新闻吗帮我看下,4
帮我回放下吉林综艺今天的凌晨剧场,1
12点的新闻30分正在直播中,4
海南穿衣指数多少,11
来一个频率是八九点一的中国之声,6
唐伯虎点秋香这部由周星驰和巩俐主演的电影麻烦播放。,8
帮我查下珠海开往佛山的普快出发了吗,2
到融创茂业的路有几条啊,2
过去很多剧集塑造的小三形象都是妖艳的女人,8
邢台明天是晴天吗,11
原色专辑前戏立刻播放呢,5
武当山市下明天武当山市下雨天吗,11
请帮我播放5月23日NBA比赛的现场情况,1
我的红太狼你在干嘛呢,8
傅欣瑶在中国新歌声唱的消失的音乐视频还能找到吗,1
江苏卫视2017年跨年演唱会薛之谦唱演员的视频,1
有没有张译的谍战片看看,8
播放我最喜欢的明星李易峰唱的剑伤。,8
11月25号是农历的什么时候,9
现场仅有寥寥粉丝前来为偶像接驾,8
提醒我周二下午去学校开家长会。,7
把明天下午3点45分去看装修屋子的闹钟设定好。,7
刘雨欣那个直播卖鸡的视频还能找得到吗,1
古典音乐是不是能随机来一首啊,5
播放一下王一博的专辑FIRE,5
给我放一下有翡的广播剧,3
嗯晚安赶紧休息吧外面一定很冷快钻被窝吧,8
小学生四百米八百米接力赛最快速度,10
找下今天电视上放的新闻360节目,6
台湾爱情剧超级喜欢看，就放王子变青蛙吧,8
现在将电扇灯开一下吧,10
可以说下冷藏室现在温度是多少吗,11
给我放一下5月19日的绝地求生2021pcl春季赛赛程,1
我需要看一个孙俪主演的清宫剧呢,8
随便来一个90年代林心如的电视剧吧,8
当然也有着大生活里大顺贸易公司背着地图讲路线报摊老板的幽默,2
奥斯卡影后玛丽昂歌迪亚将假胸贴到头上图,0
把今天晚上8点给手机系统升级的安排帮我定一下。,7
转眼二零零八年已经进入流火八月离奥运开幕也仅有五天时间,8
我不跟你聊天了我要睡觉了,0
银行休假日是几月几号,9
回放在中央5套播出的欧洲篮球联赛,4
播一下送春这首古诗吧,3
明天上午十点开会我这就睡了,7
麻烦给我播放岳云鹏的单口相声听听,3
看一下山东少儿的熊出没怪兽计划,4
找几个2020年的NBA比赛视频来看,1
财经类的那个大连财经能播放吗,8
我想知道陕西现在空气质量怎么样。,11
需要你播一个沈腾的喜剧电影呢,8
你为自己活着不是为别人活着,0
每一个微笑都让我沉醉,0
快点我想知道清远始发的高铁是19点的吗,2
请播放钢琴奏鸣曲,5
查看5月20安徽卫视的节目表,1
新专辑单曲已经在网上热播了一段时间得到的反馈好评如潮,5
看李咏这么直率大家来了劲儿赶紧让他评价一下央视的同事们,0
说一下明天有日照来的特快的吗,2
来一首热血的日语歌吧,5
搜索一下北京新闻广播的大城小事这个电台,6
5月23日下午3点的kpl春季赛赛程给我回放一下,1
调大一点风速 主卧空调的,10
播放赵本山范伟的经典小品功夫来听,3
青岛湿度如何,11
如今小龙女吴卓林已经一零岁在上海浦东的一所贵族学校读书,7
给我找一下美国电影梦幻岛的预告片,8
快乐男声还有在经济频道播放吗帮我看下,4
我想听英文版的普罗米修斯的故事,3
速度点儿开始播放蛋糕姐姐的不是不想,8
收听一下频率是九一点四的蜜嗓电台,6
给我找宫廷剧武则天看看,8
舟山群岛今天天气如何,6
那就帮我定一个后天上午9点23分参加跳远比赛的闹钟。,7
姜广涛配音的纪录片帮我找一下,1
今天可以试试电饭煲的米饭香甜煮功能不,10
我没看到帮我倒退到星期一的音乐频道,2
你啥时候实习到哪儿实习,0
我想听故事夸父追日,3
广东资源综合利用协会,8
麻烦给我播放路知行配音的广播剧,3
请现在告诉我到遵义走高速怎么走,2
立刻找出来华为MatePad Pro的测评视频,1
给我播放2012年刘翔参加钻石联赛上海站的视频,1
可以将洗衣机开启节能模式吗,10
查找国产动漫刺客伍六七,1
婷婷则说按排位来讲他是我最好的男性朋友,0
长沙明天天会晴吗,11
放一个频率是一零零点一的山东电台综合频道,6
另类谋女郎做客非常网络现场,1
老子说句话你听不懂啊,0
查询未来一周昆明天气,11
讲一下三个和尚的故事,3
南宁梦之岛SONY的PS三千版的PSP好些的要好多钱,5
还没有已有消息我通知你,7
调频收听郑磊的新闻天天谈,6
中国的阴历8月15是什么节日呢,9
景甜做客美丽俏佳人美容大王大谈护肤经,7
怎样判断双子座男生在图新鲜还是真花心,0
还有7点鹤壁到南坪的汽车票吗,2
周传雄不安的灵魂可以单曲给我循环下去吗,5
播放零零七里面的歌曲，要随机播放,5
收听一下FM107.1的华艺广播,6
有没有介绍日本地理的纪录片，播来看看,1
你是圣人我无法爱你到你梦想的天国去吧,0
你能给我播放一个日本2006年上线的恐怖片吗,8
我说了，把空调调成十六度,10
我觉得还是查一下后天到北京的飞机吧,2
白若溪郭泽禹代表女生班迎战,7
把我把挂烫机打开。,10
明天晚上6点炖排骨的提醒帮我设一下。,7
我觉得人不能总做那些常规的事,0
平心而论今年的专辑绝对不比去年的差只能说生不逢时,5
一分钟后再把电熨斗的温度调低一档。,10
我想再看一下5月15零点播报的调查显示疫情期间人们日均多睡10分钟这个新闻视频,1
给我播放阿飞今年讲解游戏的系列视频吧,1
我特别特别特别特别的想安静,5
请查晚上20点飞往巴黎的飞机哦,7
找一首笙演奏的歌曲听听,5
小点小点空调风速小点儿,10
单曲循环一下薛之谦的演员,5
我想看广东体育的体育赛事帮我找一下,1
创建周日上午9点去购物的日程,7
请续播法语版的小说贵族之家第十章,3
那请你帮我设定10号早上5点去赶海的闹钟。,7
还有利刃出鞘那种美国的推理片能播给我吗,8
查找10月15日是星期几,9
打开电视在周四凌晨播放的健康堂,8
赶快的告诉我九月一日和九月十日哪个是教师节,9
我要看法国小提琴家蒂博现场演奏的小提琴曲,1
看王志文演的天道,8
频率是九一点四的广东卫星广播给我收听一下呢,6
能否帮我看看今天广西公共活力剧场有什么,4
听听2021年央视春晚相声年三十的歌,4
后天应该穿什么衣服出去,11
锋芝闹婚变身为谢霆锋母亲的狄波拉拉姑心情当然也很差,8
安徽卫视正在播放创业中国人吗帮我看下,4
厦门市电脑应用与维修高级师傅招学徒的电话,3
传染病叫好不叫座新片表现不佳,0
接着上次的恐怖小说诡域档案继续播放第五章,3
我想知道大后天是个什么节日,9
经济萧条的年代人们都变得脆弱了怀旧了不愿折腾了懂得珍惜了吗,0
想看有湖南经济的经济新闻,1
每周一的那个提醒改成每周二提醒,7
给放明月照我心的大结局啊,8
电视上今天演小猪佩奇了吗播给我女儿看,1
是不是能来一个去年出来的悬疑剧或者犯罪片啊,8
随便来一首郎朗的钢琴曲呗,5
小灵通拨打多少号码打长途优惠,0
帮我找一个漂亮的姑娘看看,8
马上建一个9号去东大桥的提醒,7
8号淮南到苏州的高铁票还有不,2
去浦东新区怎么坐车,2
从广州到南阳的EMS需要多少天,2
帮我播放张信哲的过火,5
西二的脸红可以播放一下不,5
帮我把取暖器温度调高两度行嘛,10
2021年的玄幻剧玉龙现在可以播放一下不,8
马上关了空调,10
我现在要听陈忠实的白鹿原原著,5
回放一下3点17播出的艺览天下-2021-19,4
电热毯温度太高了帮我调低一点,10
看看星期4是什么节日呢,9
中国传统节日重阳节是农历多少号啊,9
郭德纲的单口相声给我放一下,1
当然他们并不只冲着阎教授一个人,0
不得不说郭亮的郭亮直通车讲的很好，这个也在上海交通广播里，快搜吧,6
登记最近一周内蒙古的气温情况,11
看看广州去肇庆的客车是几点的呀,2
帮我播一下阿春和天空合作的广播剧,3
成龙2018年的专辑我还是成龙里的物是人非播放呢,5
明天是不是阳光明媚，能去钓鱼,11
收听频率是一零三点零的南通经济广播电台,6
请给我找路我要去广州市,2
香港的电视剧失忆24小时拍摄花絮播放出来,1
想看寰宇地理，帮我打开科教健康吧,4
难道伤心是你给我的温柔,8
虽贵为富家子弟但为了女友也不在乎,8
晚上几点钟睡觉比较好,0
三农进行时是不是在六点零五分开始播放,8
我能继续观看一下上次那个喜剧吗,8
给我看看后天广州可以穿什么,11
帮我切换到正在CCTV1频道播放的朝闻天下,6
讲修仙的广播剧播放一个吧,8
查一下明天南京空气质量怎么样,11
李易峰还有杨幂一起演的古剑奇谭现在播放下呢,8
有声小说乔家的儿女给我播一下,1
找一下每周三，11点更新的国产动漫,1
小心啊打雷喽下雨收衣服啊,11
有声小说赘婿给我播一下,4
